lotnum,ytotal,y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Lot66,51,0,14,7,17,4,9,A,B2,A3,B4,C5,C6,A7,B8,B9,B10
Lot67,34,7,9,7,0,2,9,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot68,40,6,12,10,0,4,8,B,A2,A3,B4,C5,B6,B7,B8,B9,B10
Lot69,43,8,6,1,0,24,4,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot70,27,0,17,2,8,0,0,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot71,32,0,16,5,6,2,3,A,A2,A3,B4,C5,B6,A7,B8,A9,A10
Lot72,56,0,23,13,6,9,5,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot73,35,9,11,7,0,4,4,B,B2,A3,B4,C5,C6,B7,B8,B9,B10
Lot74,27,0,10,1,10,3,3,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot75,20,0,8,3,7,0,2,A,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot76,42,13,17,3,0,8,1,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot77,34,9,5,0,0,18,2,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot78,24,0,9,2,6,1,6,B,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot79,29,4,9,1,0,10,5,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot80,46,12,7,16,0,1,10,B,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot81,23,0,9,0,9,1,4,B,A2,A3,B4,C5,B6,C7,B8,A9,B10
Lot82,58,0,12,8,21,8,9,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot83,40,5,20,1,2,8,4,A,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot84,29,1,5,0,0,19,4,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot85,14,0,6,1,5,1,1,A,A2,A3,B4,C5,B6,A7,B8,B9,B10
Lot86,25,6,15,0,0,2,2,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot87,30,5,10,1,0,11,3,A,A2,B3,B4,C5,C6,A7,B8,A9,B10
Lot88,31,0,16,3,8,2,2,C,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot89,23,5,7,4,0,5,2,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot90,29,0,15,3,8,0,3,B,A2,A3,B4,C5,C6,A7,B8,B9,B10
Lot91,20,0,4,0,10,1,5,B,B2,A3,B4,C5,B6,C7,B8,A9,B10
Lot92,28,9,4,5,0,2,8,B,A2,A3,B4,C5,B6,A7,B8,A9,B10
Lot93,57,8,10,1,0,37,1,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
Lot94,27,8,9,0,0,8,2,A,A2,A3,B4,C5,B6,B7,B8,A9,B10
Lot95,54,0,18,13,8,12,3,C,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot96,28,7,11,0,0,7,3,A,A2,B3,B4,C5,B6,B7,B8,A9,B10
