Price,Adj Close,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,,
2015-03-27,40217.06640625,45800.0,46400.0,45400.0,46150.0,4492231
2015-03-30,39953.625,45500.0,46350.0,45100.0,46000.0,2776997
2015-03-31,39997.53125,45550.0,46350.0,45450.0,46300.0,2399612
2015-04-01,39514.578125,45000.0,46200.0,44900.0,45950.0,2051147
2015-04-02,39338.953125,44800.0,45350.0,44100.0,44550.0,3148519
2015-04-03,38812.08984375,44200.0,44800.0,44000.0,44300.0,2834100
2015-04-06,39295.0546875,44750.0,45100.0,44250.0,44450.0,2068077
2015-04-07,38592.56640625,43950.0,45050.0,43500.0,45000.0,3691912
2015-04-08,37407.1328125,42600.0,44150.0,42450.0,43900.0,5694496
2015-04-09,36792.4609375,41900.0,42550.0,41550.0,42000.0,5892744
2015-04-10,38285.2421875,43600.0,43800.0,42700.0,42850.0,6518647
2015-04-13,38812.08984375,44200.0,44500.0,43800.0,44400.0,3362917
2015-04-14,38636.48046875,44000.0,44400.0,43700.0,44250.0,2134645
2015-04-15,38899.90625,44300.0,44500.0,44000.0,44000.0,2146331
2015-04-16,39075.53125,44500.0,44900.0,44150.0,44750.0,2096120
2015-04-17,39119.43359375,44550.0,44750.0,44050.0,44700.0,2153757
2015-04-20,38856.0078125,44250.0,44400.0,43600.0,44100.0,2355455
2015-04-21,39646.28515625,45150.0,45500.0,44250.0,44600.0,3270598
2015-04-22,39734.109375,45250.0,46100.0,45250.0,45700.0,3816002
2015-04-23,40217.06640625,45800.0,46800.0,45650.0,46400.0,4995010
2015-04-24,41446.3984375,47200.0,47250.0,46500.0,46700.0,4400132
2015-04-27,40217.06640625,45800.0,47500.0,45400.0,47300.0,3688453
2015-04-28,41226.875,46950.0,46950.0,45700.0,46150.0,2311231
2015-04-29,41182.9765625,46900.0,47400.0,46300.0,47050.0,2422884
2015-04-30,40524.390625,46150.0,46900.0,45650.0,46900.0,2419318
2015-05-04,41095.15234375,46800.0,47100.0,46400.0,46500.0,2239896
2015-05-06,39778.00390625,45300.0,46350.0,45000.0,46300.0,3291950
2015-05-07,40304.8671875,45900.0,46000.0,44550.0,44850.0,2142745
2015-05-08,40348.78125,45950.0,46300.0,45050.0,45300.0,1695019
2015-05-11,40656.10546875,46300.0,46700.0,46000.0,46100.0,1592730
2015-05-12,40436.58203125,46050.0,47250.0,46000.0,46300.0,2364231
2015-05-13,39734.109375,45250.0,46150.0,45200.0,46100.0,1896100
2015-05-14,39997.53125,45550.0,46050.0,45200.0,45650.0,1889682
2015-05-15,39778.00390625,45300.0,45950.0,45200.0,45750.0,1215027
2015-05-18,39909.72265625,45450.0,45450.0,44400.0,45100.0,2195599
2015-05-19,40480.48828125,46100.0,46150.0,45500.0,45650.0,1510095
2015-05-20,41139.06640625,46850.0,46900.0,46400.0,46500.0,1784488
2015-05-21,40700.015625,46350.0,47500.0,46200.0,47000.0,1880002
2015-05-22,42017.16796875,47850.0,47850.0,46350.0,46750.0,3953338
2015-05-26,42148.890625,48000.0,49150.0,47800.0,48500.0,3594626
2015-05-27,42544.02734375,48450.0,48800.0,47500.0,48000.0,3441135
2015-05-28,43597.74609375,49650.0,50000.0,49150.0,49450.0,5512264
2015-05-29,44870.99609375,51100.0,51300.0,49200.0,49350.0,6512595
2015-06-01,44431.953125,50600.0,50900.0,49550.0,50600.0,4623131
2015-06-02,44958.8046875,51200.0,51500.0,50300.0,50700.0,2173205
2015-06-03,43729.45703125,49800.0,51700.0,49600.0,51000.0,2724813
2015-06-04,42412.3125,48300.0,49600.0,48100.0,49500.0,3262007
2015-06-05,43070.890625,49050.0,49550.0,48150.0,48300.0,2134371
2015-06-08,42192.78125,48050.0,48800.0,48000.0,48600.0,1954503
2015-06-09,42148.890625,48000.0,48300.0,47200.0,47750.0,2168902
2015-06-10,41709.828125,47500.0,48000.0,47500.0,48000.0,2649918
2015-06-11,41358.59375,47100.0,47900.0,47050.0,47800.0,2696182
2015-06-12,40875.640625,46550.0,47800.0,46450.0,47750.0,2307036
2015-06-15,40524.390625,46150.0,47100.0,46050.0,46550.0,1775422
2015-06-16,38812.08984375,44200.0,45300.0,44200.0,45250.0,6161260
2015-06-17,39470.66796875,44950.0,45250.0,44250.0,44250.0,3461566
2015-06-18,38899.90625,44300.0,44950.0,44300.0,44900.0,2225236
2015-06-19,38241.328125,43550.0,44550.0,43500.0,44350.0,3858378
2015-06-22,38504.7578125,43850.0,44150.0,43550.0,43800.0,2843715
